load,Ss,initial reward ,convergent reward,convergent episodes
"day1-56,058",5%,-48399.305,-2286.2004,162321
,10%,-48399.305,-2325.6787,162315
,15%,-48399.305,-2155.862,159619
,20%,-48399.305,-3057.109,167180
,25%,-48399.305,-1736.2365,170370
,30%,-48399.305,-2284.8245,199170
,35%,-48399.305,-771.7679,152732
,40%,-48399.305,-2877.1736,157978
,45%,-48399.305,-1943.1685,156325
,50%,-48399.305,-771.7679,155683
,55%,-48399.305,-3097.1655,166097
,60%,-48399.305,-771.7679,154289
,65%,-48399.305,-3942.4268,173336
,70%,-48399.305,-1043.4258,140559
,75%,-48399.305,-2322.639,159307
,80%,-48399.305,-1055.1755,152237
,85%,-48399.305,-1426.7178,141602
,90%,-48399.305,-2688.767,149976
,95%,-48399.305,-2269.5088,148755
"day2-55,566",5%,-46396.004,-1099.246,151189
,10%,-46396.004,-1275.1069,140413
,15%,-46396.004,-1635.897,130042
,20%,-46396.004,-1686.1726,131746
,25%,-46396.004,-1251.5558,129917
,30%,-46396.004,-589.3362,138130
,35%,-46396.004,-622.9498,140148
,40%,-46396.004,-1664.7317,143135
,45%,-46396.004,-990.5031,135624
,50%,-46396.004,-589.3362,138315
,55%,-46396.004,-450.8888,127713
,60%,-46396.004,-859.6912,133875
,65%,-46396.004,-1113.7465,126525
,70%,-46396.004,-2366.2334,323819
,75%,-46396.004,-589.3362,129802
,80%,-46396.004,-1623.7051,149427
,85%,-46396.004,-2561.184,127567
,90%,-46396.004,-1671.285,127487
,95%,-46396.004,-1078.6842,125331
"day3-54,788",5%,-196036.78,-7085.8945,492198
,10%,-196036.78,-12458.255,521391
,15%,-196036.78,-12189.929,488505
,20%,-196036.78,-9915.112,493697
,25%,-196036.78,-12444.592,471163
,30%,-196036.78,-12382.385,491934
,35%,-196036.78,-11413.064,499147
,40%,-196036.78,-10467.089,477841
,45%,-196036.78,-12671.812,479386
,50%,-196036.78,-7624.392,516741
,55%,-196036.78,-12085.999,484612
,60%,-196036.78,-12331.101,454676
,65%,-196036.78,-9245.347,485876
,70%,-196036.78,-8737.55,462188
,75%,-196036.78,-7883.5625,476227
,80%,-196036.78,-10155.899,480613
,85%,-196036.78,-11096.678,489717
,90%,-196036.78,-10444.714,499770
,95%,-196036.78,-13999.872,500810
"day4-53,371",5%,-136737.88,-4903.687,402415
,10%,-136737.88,-9575.745,392154
,15%,-136737.88,-6534.679,411192
,20%,-136737.88,-6286.565,370678
,25%,-136737.88,-6228.4673,413352
,30%,-136737.88,-7698.36,398776
,35%,-136737.88,-8549.01,381862
,40%,-136737.88,-3259.2246,410100
,45%,-136737.88,-4238.9146,418092
,50%,-136737.88,-5949.4727,411510
,55%,-136737.88,-3659.6396,407201
,60%,-136737.88,-2543.5781,392451
,65%,-136737.88,-6234.7964,390360
,70%,-136737.88,-6263.9644,402131
,75%,-136737.88,-6586.4565,371428
,80%,-136737.88,-6169.9385,360985
,85%,-136737.88,-4921.2793,367701
,90%,-136737.88,-6286.565,374744
,95%,-136737.88,-6556.5576,372596
"day5-53,035",5%,-317391.03,-6678.5,719264
,10%,-317391.03,-7221.6016,655868
,15%,-317391.03,-8724.34,625069
,20%,-317391.03,-10856.893,654303
,25%,-317391.03,-10425.568,623416
,30%,-317391.03,-9303.867,643683
,35%,-317391.03,-8395.428,640725
,40%,-317391.03,-9403.647,661882
,45%,-317391.03,-11517.266,684440
,50%,-317391.03,-8443.827,632859
,55%,-317391.03,-8743.418,629903
,60%,-317391.03,-5432.5522,629029
,65%,-317391.03,-11610.214,653318
,70%,-317391.03,-12549.695,620051
,75%,-317391.03,-3204.147,596161
,80%,-317391.03,-8644.774,616452
,85%,-317391.03,-5292.088,593555
